Unnamed: 0,店舗名,住所,緯度,経度,チェック
225,館林朝日町店,群馬県 館林市 朝日町12-36,36.251663,139.541107,0
226,横川サービスエリア(上り線)店,群馬県 安中市 松井田町横川917 上信越自動車道　横川サービスエリア（上り線）内,36.34145,138.740234,0
227,パワーモール前橋みなみ店,群馬県 前橋市 新堀町938 パワーモール前橋みなみ,36.329418,139.097214,0
228,スマーク伊勢崎 2階 あかぎプラザ店,群馬県 伊勢崎市 西小保方町368 スマーク伊勢崎 2F,36.339588,139.232391,0
229,スマーク伊勢崎 1階 はるなプラザ店,群馬県 伊勢崎市 西小保方町368 スマーク伊勢崎 1F,36.339588,139.232391,0
230,浦和パルコ店,埼玉県 さいたま市浦和区 東高砂町11-1 浦和パルコ　1階,35.857906,139.65863,0
231,浦和西口店,埼玉県 さいたま市浦和区 高砂2-5-1 KOMON,35.8576779,139.6537889,0
232,浦和 蔦屋書店,埼玉県 さいたま市浦和区 高砂1-16-12 アトレ浦和,35.858215,139.657028,0
233,さいたま新都心店,埼玉県 さいたま市中央区 新都心10 けやきひろば(013区画）,35.892952,139.631271,0
234,さいたま新都心 コクーンシティ コクーン2店,埼玉県 さいたま市大宮区 吉敷町4-263-1 コクーンシティ,35.896694,139.634338,0
235,さいたま新都心 コクーンシティ コクーン1店,埼玉県 さいたま市大宮区 吉敷町4-267-2 コクーンシティ,35.894691,139.635742,0
236,ルミネ大宮 LUMINE1店,埼玉県 さいたま市大宮区 錦町630 ルミネ大宮 LUMINE1 B1F,35.904289,139.624069,0
237,エキュート大宮ノース店,埼玉県 さいたま市大宮区 錦町630 エキュート大宮ノース,35.904289,139.624069,0
238,ルミネ大宮 LUMINE2店,埼玉県 さいたま市大宮区 錦町630 ルミネ大宮 LUMINE2 3F,35.904289,139.624069,0
239,大宮西口店,埼玉県 さいたま市大宮区 桜木町1-1-12 NYビル,35.905525,139.621902,0
240,大宮マルイ店,埼玉県 さいたま市大宮区 桜木町2-3 大宮マルイ,35.90699,139.621796,0
